metric,value
human_annotators,4
nonidentical_pairs_per_annotator,528
nonidentical_annotator_item_judgments,2112
pooled_meprs_wins,1022
pooled_best_baseline_wins,750
pooled_human_ties,340
pooled_sign_test_excluding_ties_p,1.1174035171618282e-10
majority_meprs_wins,270
majority_best_baseline_wins,181
majority_tie_or_no_majority,77
majority_sign_test_excluding_tie_or_no_majority_p,3.234247004387456e-05
meprs_as_A_per_annotator_sum,1128
meprs_as_B_per_annotator_sum,984
meprs_wins_when_as_A,589
baseline_wins_when_meprs_as_A,332
ties_when_meprs_as_A,207
meprs_wins_when_as_B,433
baseline_wins_when_meprs_as_B,418
ties_when_meprs_as_B,133
