seed,heldout_pair,test_rows,test_segments,test_systems,pearson,spearman,kendall,system_pearson,system_spearman,pairwise_accuracy,top1_accuracy,baseline_pearson,baseline_spearman,baseline_system_spearman,baseline_pairwise_accuracy,baseline_top1_accuracy,gold_mean,pred_mean
1,en-de,1040,80,13,0.1949047050866064,0.30573239568718286,0.21486998407740945,0.829648063042282,0.8076923076923077,0.6007579135086937,0.5375,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-3.8319606993060846
1,en-ru,944,58,16,0.22964766342005555,0.25762830166733747,0.18700070893300944,0.6187503125585898,0.6911764705882353,0.56220393916729,0.5862068965517241,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-3.067039714021198
1,he-en,1040,80,13,0.3177828909333989,0.23850763752181528,0.17703157455555418,0.8013443476159587,0.7637362637362637,0.615170105967652,0.65,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-3.0069560553018864
1,zh-en,1280,80,16,0.4323785446431182,0.43888788671301954,0.31332568818068746,0.37681986755722585,0.5294117647058824,0.5419607843137255,0.2,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-2.0249503537081184
2,en-de,1040,80,13,0.3971637385847026,0.5293205834816709,0.387454516048444,0.7924445121094268,0.8681318681318682,0.6090057958091841,0.5375,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-3.8236674826878767
2,en-ru,944,58,16,0.2601711484831566,0.26879512521764876,0.19439479417955138,0.5753059699482272,0.5264705882352941,0.5841436050860135,0.5862068965517241,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-3.381658411379588
2,he-en,1040,80,13,0.3119578918067335,0.2735054144921882,0.2039738163698008,0.7807403249976296,0.7472527472527472,0.6388733965421082,0.6875,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-3.565771541916407
2,zh-en,1280,80,16,0.4452574450188349,0.43322538617082257,0.30886321269819056,0.21563006381759303,0.5794117647058823,0.5252287581699346,0.15,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-2.74279970722273
3,en-de,1040,80,13,0.45333354056431796,0.5534350050561804,0.40654236879454053,0.6938077650351372,0.6703296703296703,0.6130182790905038,0.525,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-3.5460139939418207
3,en-ru,944,58,16,0.22804669949348053,0.21503243238162104,0.15951563660757176,0.5664306404874324,0.6441176470588235,0.5447519321864872,0.5344827586206896,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-4.039339268611649
3,he-en,1040,80,13,0.2836161842499795,0.2616015474613487,0.19582798824961262,0.7686057833388636,0.7692307692307693,0.6299498047964306,0.725,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-2.829327600965133
3,zh-en,1280,80,16,0.39578507424364545,0.39389594177970116,0.28037556800872226,0.4901186075951339,0.5970588235294118,0.5530718954248366,0.1625,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-2.527955908887088
