seed,heldout_pair,test_rows,test_segments,test_systems,pearson,spearman,kendall,system_pearson,system_spearman,pairwise_accuracy,top1_accuracy,baseline_pearson,baseline_spearman,baseline_system_spearman,baseline_pairwise_accuracy,baseline_top1_accuracy,gold_mean,pred_mean
1,en-de,1040,80,13,0.3499059115984497,0.4685359686346608,0.3387966496560441,-0.2583360354914826,-0.1758241758241758,0.4933125278644672,0.275,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-5.166230997328575
1,en-ru,944,58,16,0.08271155665486353,0.08899024513720755,0.06525511030666226,-0.20252693784899897,-0.17058823529411765,0.4330590875093493,0.3620689655172414,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-5.265644602098708
1,he-en,1040,80,13,0.11513479767844244,0.12517719822298837,0.09190722670201994,-0.6368287769371036,-0.5439560439560439,0.4274958170663692,0.3875,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-4.154587186529086
1,zh-en,1280,80,16,0.4114062396533443,0.3866957740267466,0.2738085860164075,-0.7934320389061267,-0.7000000000000001,0.44130718954248366,0.0875,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-2.8880485577508805
2,en-de,1040,80,13,0.4033171434991623,0.5147924373093494,0.3768901585639487,-0.8174340763035328,-0.7087912087912087,0.4674543022737405,0.2875,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-3.9013504068438825
2,en-ru,944,58,16,0.09279877909747773,0.11039118439422729,0.07878205133360547,0.28796092496474796,0.18235294117647058,0.4470206930939915,0.3620689655172414,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-10.904406456371484
2,he-en,1040,80,13,0.1531255316477583,0.17179804679167854,0.1280036665931051,-0.6966944618807189,-0.7802197802197801,0.46820970440602344,0.3875,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-3.875423695032413
2,zh-en,1280,80,16,0.3180899853346829,0.2699700408283384,0.1879232145099005,-0.6541242401120239,-0.6411764705882352,0.45254901960784316,0.125,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-1.6403614670969546
3,en-de,1040,80,13,0.37853008803935784,0.4994105249228307,0.35888391378741985,-0.7328822882751174,-0.6923076923076923,0.46678555506018726,0.2375,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-3.8807539336956465
3,en-ru,944,58,16,0.16740100585213838,0.1827390904964546,0.1341929889507177,-0.1806655611813252,-0.02058823529411765,0.45549738219895286,0.39655172413793105,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-3.3278160749350563
3,he-en,1040,80,13,0.14824069333434833,0.14061136497228535,0.10432500951320874,-0.5887166000139897,-0.39560439560439564,0.4807585052983826,0.4125,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-3.6237786918878556
3,zh-en,1280,80,16,0.3678986474266257,0.3277625669089938,0.22980084587375715,-0.6601534772800903,-0.5764705882352941,0.46013071895424834,0.1625,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-1.9890149984508754
