seed,heldout_pair,test_rows,test_segments,test_systems,pearson,spearman,kendall,system_pearson,system_spearman,pairwise_accuracy,top1_accuracy,baseline_pearson,baseline_spearman,baseline_system_spearman,baseline_pairwise_accuracy,baseline_top1_accuracy,gold_mean,pred_mean
1,en-de,1040,80,13,0.36172877959415783,0.39118010247735324,0.28217975514704713,0.7454660003482709,0.7417582417582418,0.5951850200624164,0.5,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-4.651790917148957
1,en-ru,944,58,16,0.18860410298036,0.24718484247375325,0.18423715883751163,0.6197939752925619,0.6441176470588235,0.5828970331588132,0.5862068965517241,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-1.8847589442285442
1,he-en,1040,80,13,0.2777604182992189,0.2670525300232108,0.19939698410074208,0.7020509830830818,0.7582417582417583,0.6201896263245956,0.725,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-2.827212348351112
1,zh-en,1280,80,16,0.44167405515988534,0.40373331694394216,0.28824314526501205,0.274461640578567,0.4794117647058824,0.5286274509803922,0.1625,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-4.578412826545536
2,en-de,1040,80,13,0.4906543146672204,0.5481992265515175,0.4016537490903177,0.6844663895357564,0.8131868131868131,0.582255907267053,0.525,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-4.877510106334319
2,en-ru,944,58,16,0.11898053309875603,0.21744565095458834,0.1606333667924822,0.6059434123172717,0.6705882352941177,0.5492395911244079,0.5689655172413793,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-0.5337059124041412
2,he-en,1040,80,13,0.30349290163199116,0.29455907641826606,0.2185641445477965,0.7524107996325851,0.7362637362637362,0.5953708867819297,0.65,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-2.6640334287515053
2,zh-en,1280,80,16,0.45636114513884596,0.4410394144941157,0.31241680763204355,0.20273976165528662,0.3911764705882353,0.5109803921568628,0.1625,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-2.9922533546574415
3,en-de,1040,80,13,0.33962763253339373,0.42780830231613765,0.3102700294007155,0.7434900160590068,0.8076923076923077,0.5697726259473919,0.475,-0.009251618968442945,0.00973481245995216,0.8241758241758241,0.6306286223807401,0.575,-5.501634615384615,-4.36870980812953
3,en-ru,944,58,16,0.18213979785560266,0.22156318974940906,0.1620824630872694,0.5795891696061048,0.5235294117647059,0.5599601096983295,0.5689655172413793,0.057735112786288394,0.08211646774455972,0.6088235294117647,0.5888805784093742,0.5862068965517241,-1.9579449152542372,-4.522902652368707
3,he-en,1040,80,13,0.29996215986732544,0.2631998059784338,0.19895476809415658,0.7233795814629472,0.7802197802197801,0.6154489682097044,0.675,0.20191722183524152,0.21629375915120672,0.8406593406593407,0.6344116006692694,0.7125,-2.236153846153846,-3.2791154675758802
3,zh-en,1280,80,16,0.4326083295853935,0.44021617722349227,0.3153175447070114,0.3596106853354946,0.5823529411764706,0.5372549019607843,0.1625,-0.055041880623480616,0.00028253509954445795,0.6588235294117648,0.5568627450980392,0.175,-4.669423828125,-3.3207932666875424
