seed,heldout_pair,test_rows,test_segments,test_systems,pearson,spearman,kendall,system_pearson,system_spearman,pairwise_accuracy,top1_accuracy,baseline_pearson,baseline_spearman,baseline_system_spearman,baseline_pairwise_accuracy,baseline_top1_accuracy,gold_mean,pred_mean,best_epoch,completed_epochs,best_valid_loss,checkpoint_path
1,en-de,144805,4854,82,0.3944510049586335,0.5983483741015937,0.463220372311723,0.7589322299159323,0.7626277467593954,0.6699722420039818,0.9239802224969098,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-2.0321509795452175,2,7,0.681185773731965,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed1_ende.pt
1,en-es,11273,623,15,0.41104938524352835,0.7799805114166487,0.6192510873736726,0.8974974654164487,0.7107142857142856,0.8665986533360539,0.971107544141252,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.5045896596307078,4,9,0.745530702076949,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed1_enes.pt
1,he-en,12427,751,13,0.41819182821421896,0.7967233138107452,0.6273874533512779,0.9469564840340782,0.9560439560439561,0.7620501449769742,0.9880159786950732,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-1.745270028984958,3,8,0.725379725428004,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed1_heen.pt
1,ja-zh,12806,560,15,0.3572214742986609,0.4668998933411601,0.3635091197425019,0.9557675335542779,0.8892857142857141,0.6483457493426819,0.65,nan,nan,nan,0.0,0.5,-1.8021240043729503,-2.3792807831999547,6,11,0.7557316426332895,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed1_jazh.pt
1,zh-en,222178,5824,72,0.3733787362456565,0.4785847073583256,0.3761599809393221,0.5661248378397361,0.42349990353077377,0.647550159221058,0.8938873626373627,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-2.6958840345946617,2,7,0.8599346392863506,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed1_zhen.pt
2,en-de,144805,4854,82,0.400749777563793,0.6014504805304891,0.4636269129813412,0.7579483021793468,0.7902286653388623,0.6675557629030497,0.9431396786155748,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-2.3649653061636284,3,8,0.7091242963304887,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed2_ende.pt
2,en-es,11273,623,15,0.44506984335224403,0.7820144274692409,0.622290253878205,0.9219609383895252,0.6857142857142856,0.8706182411752703,0.9662921348314607,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.4281422876374783,2,7,0.7536264158688583,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed2_enes.pt
2,he-en,12427,751,13,0.4105405191172197,0.7921600286799492,0.6227910623349469,0.9681926166150115,0.9395604395604396,0.7685485246460856,0.9866844207723036,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-1.9141691412422677,5,10,0.6857122933786166,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed2_heen.pt
2,ja-zh,12806,560,15,0.4121273606795787,0.6234900682598018,0.4863415163622062,0.934857736400937,0.95,0.7003286590709904,0.85,nan,nan,nan,0.0,0.5,-1.8021240043729503,-1.7609209848459337,8,13,0.760714022757171,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed2_jazh.pt
2,zh-en,222178,5824,72,0.3921962898464684,0.4789913744381152,0.37625594656420486,0.5719703792527706,0.4425043411151844,0.6489435648195994,0.881353021978022,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-3.899788147272295,1,6,0.8125274322099156,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed2_zhen.pt
3,en-de,144805,4854,82,0.3994109708745425,0.6009467067511821,0.46401115561817824,0.7672917330148168,0.7840032215583199,0.6702334478653893,0.9361351462711166,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-2.326674574049034,2,7,0.6861636431849732,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed3_ende.pt
3,en-es,11273,623,15,0.40247512887362036,0.7608271168503783,0.6040049259896079,0.9141044791229503,0.6535714285714285,0.8425015302999388,0.956661316211878,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.4114357931721997,4,9,0.7311923429369926,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed3_enes.pt
3,he-en,12427,751,13,0.4185280496468755,0.7952597925566294,0.6258936749711204,0.9664967504340283,0.9615384615384615,0.7749786798567286,0.9880159786950732,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-2.056179293999488,4,9,0.680631283002022,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed3_heen.pt
3,ja-zh,12806,560,15,0.4577003385249269,0.6488916229684107,0.5065779528913736,0.9434201681004251,0.9214285714285713,0.7077563540753725,0.8267857142857142,nan,nan,nan,0.0,0.5,-1.8021240043729503,-2.2266326704268042,2,7,0.6880123955862862,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed3_jazh.pt
3,zh-en,222178,5824,72,0.3917473095195464,0.48969175251994146,0.38585472245245805,0.5301210971076846,0.37790211589169725,0.6551659192565241,0.8839285714285714,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-2.697637815734896,2,7,0.7072895471308682,revision_analysis/google_mqm_charcnn_outputs_hyp_only_extended/checkpoints/charcnn_seed3_zhen.pt
