seed,heldout_pair,test_rows,test_segments,test_systems,pearson,spearman,kendall,system_pearson,system_spearman,pairwise_accuracy,top1_accuracy,baseline_pearson,baseline_spearman,baseline_system_spearman,baseline_pairwise_accuracy,baseline_top1_accuracy,gold_mean,pred_mean,best_epoch,completed_epochs,best_valid_loss,checkpoint_path
6,en-de,144805,4854,82,0.3407358346596644,0.5982618381580052,0.4613958175374973,0.5412811883483798,0.5695736877047485,0.6310070850465492,0.9206839719818706,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-1.9174362088776042,4,9,0.7109396370018229,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed6_ende.pt
6,en-es,11273,623,15,0.3365423058317135,0.6614246472018329,0.5244381941213997,0.898240032621601,0.6357142857142856,0.747826974086921,0.8940609951845907,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.4236367005882273,1,6,0.7180793524781863,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed6_enes.pt
6,he-en,12427,751,13,0.4438707697998512,0.8019409889744578,0.6336065635133377,0.9729736300602897,0.9725274725274725,0.7790892034794474,0.9733688415446072,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-1.5866866158855846,2,7,0.7009961662689844,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed6_heen.pt
6,ja-zh,12806,560,15,0.5705720122607358,0.7196588386332325,0.5614490870032005,0.9585446124738426,0.9785714285714284,0.7196647677475898,0.975,nan,nan,nan,0.0,0.5,-1.8021240043729503,-2.860311403454011,2,7,0.7037927600983027,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed6_jazh.pt
6,zh-en,222178,5824,72,0.377370957500969,0.4743388580776863,0.37037012100410055,0.44676839228628445,0.3078333011769246,0.6471844224465794,0.9692651098901099,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-2.0779995220527376,3,8,0.6943716748672373,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed6_zhen.pt
7,en-de,144805,4854,82,0.3211755689937149,0.5931084626578133,0.4569091523237582,0.39022196868854836,0.3860754671803746,0.6211618332752876,0.915533580552122,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-1.9147540781923653,7,12,0.7301076852223453,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed7_ende.pt
7,en-es,11273,623,15,0.32507466320260253,0.6433672272751434,0.5075615415170638,0.8689647557785648,0.5964285714285712,0.6743929810242808,0.8747993579454254,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.389830274811593,6,11,0.7322354265201239,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed7_enes.pt
7,he-en,12427,751,13,0.42182371479684894,0.7929861558991035,0.6228049340007745,0.973273466562222,0.9780219780219779,0.7753880266075388,0.9720372836218375,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-1.8917034858190362,4,9,0.6891478185035005,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed7_heen.pt
7,ja-zh,12806,560,15,0.5400202202738283,0.7108332913581275,0.5526178715886753,0.9605795016123495,0.9571428571428571,0.7216148115687993,0.9535714285714286,nan,nan,nan,0.0,0.5,-1.8021240043729503,-3.7710803978688525,6,11,0.6790908110377035,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed7_jazh.pt
7,zh-en,222178,5824,72,0.38721080020331966,0.4758062256175367,0.3717949030723667,0.5067741089670543,0.32497266705254363,0.6467861685821165,0.9728708791208791,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-2.0049900975830885,4,9,0.6884121212520098,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed7_zhen.pt
8,en-de,144805,4854,82,0.36208846657960303,0.5984634269525075,0.4618269989720684,0.7059941935735057,0.7523100532210142,0.6244022154415548,0.9210960032962505,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-1.7481353065856504,8,13,0.6435810064568239,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed8_ende.pt
8,en-es,11273,623,15,0.34603271368074195,0.6635463788792149,0.5256875006761684,0.8985866728765737,0.6749999999999999,0.7242195470312182,0.8892455858747994,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.6573285104895743,5,10,0.7506664082219329,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed8_enes.pt
8,he-en,12427,751,13,0.44041511659226595,0.7992397203632405,0.6309727311303874,0.9771530728465492,0.9780219780219779,0.7806583660242197,0.9707057256990679,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-1.7850800350606992,2,7,0.6749508506678915,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed8_heen.pt
8,ja-zh,12806,560,15,0.5703374936618919,0.7231717808608159,0.565557430871318,0.9730509750957259,0.9785714285714284,0.694796231375986,0.975,nan,nan,nan,0.0,0.5,-1.8021240043729503,-3.1954666015116215,5,10,0.6774165360973432,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed8_jazh.pt
8,zh-en,222178,5824,72,0.3452593208736543,0.4800536561649892,0.375744839282312,0.44702194587358673,0.2881535790082964,0.6477075934488045,0.9718406593406593,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-1.8988025979337426,6,11,0.7413171749365958,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed8_zhen.pt
9,en-de,144805,4854,82,0.36782124705071534,0.6017268966755019,0.4636366777545805,0.4688387144176636,0.5088864944874348,0.6321747142329904,0.9210960032962505,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-1.9357815736795854,2,7,0.6812263306449441,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed9_ende.pt
9,en-es,11273,623,15,0.33122242998719226,0.6467285063799125,0.5127898258192202,0.8994111064440484,0.6642857142857141,0.6930422362783105,0.884430176565008,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.36079286450366,7,12,0.6560733865333509,revision_analysis/google_mqm_charcnn_outputs_more_seeds_full/checkpoints/charcnn_seed9_enes.pt
