seed,heldout_pair,test_rows,test_segments,test_systems,pearson,spearman,kendall,system_pearson,system_spearman,pairwise_accuracy,top1_accuracy,baseline_pearson,baseline_spearman,baseline_system_spearman,baseline_pairwise_accuracy,baseline_top1_accuracy,gold_mean,pred_mean,best_epoch,completed_epochs,best_valid_loss,checkpoint_path
1,en-de,144805,4854,82,0.3793698847232374,0.6029030749056727,0.4661500551171914,0.8054077683275713,0.8193315266485998,0.670090499384022,0.9441697569015245,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-2.214671414279052,8,13,0.6694640068794196,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed1_ende.pt
1,en-es,11273,623,15,0.44129013616676277,0.7991354827687972,0.6366522543000339,0.8944914401598011,0.6642857142857141,0.8761681289532749,0.9727126805778491,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.3427465058235948,4,9,0.736035864461552,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed1_enes.pt
1,he-en,12427,751,13,0.43486838151617224,0.7968315835366285,0.6261169287140534,0.971222506549054,0.9560439560439561,0.7685314685314686,0.9906790945406125,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-2.064530227068607,2,7,0.7199684385406343,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed1_heen.pt
1,ja-zh,12806,560,15,0.42089889320441454,0.6120978024787798,0.48026036829500346,0.973188523015281,0.95,0.6769609991235758,0.7785714285714286,nan,nan,nan,0.0,0.5,-1.8021240043729503,-1.7031505642766862,5,10,0.7568841911368556,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed1_jazh.pt
1,zh-en,222178,5824,72,0.3774423883487261,0.47664416873356,0.3745396733153013,0.5228446478207383,0.38838510515145674,0.6485240621636614,0.8919986263736264,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-2.7289861649274023,2,7,0.8510721047987809,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed1_zhen.pt
2,en-de,144805,4854,82,0.4100696094254423,0.6063552226395361,0.4685250827301648,0.7596063640606735,0.7690490961134511,0.6741054024129703,0.9408735063864854,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-2.098354800601743,4,9,0.7049783044136487,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed2_ende.pt
2,en-es,11273,623,15,0.41147198855072636,0.7670999849771812,0.6093500463390931,0.8978513575181496,0.7107142857142856,0.84872475005101,0.9470304975922953,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.6192434954260444,3,8,0.7579608900206429,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed2_enes.pt
2,he-en,12427,751,13,0.4251460737591543,0.7970654983531598,0.6278327132998412,0.970422652319394,0.9560439560439561,0.7752345215759849,0.9853528628495339,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-2.0197606395426133,5,10,0.6924231750400442,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed2_heen.pt
2,ja-zh,12806,560,15,0.3586816968924082,0.48207913358270393,0.37337494047090886,0.891956683389885,0.8214285714285712,0.6507449605609115,0.7517857142857143,nan,nan,nan,0.0,0.5,-1.8021240043729503,-2.4720622098261575,7,12,0.7696557563620728,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed2_jazh.pt
2,zh-en,222178,5824,72,0.3214506672225437,0.4561647503122701,0.35615713759997814,0.490013812796871,0.3283169335648595,0.6313218776591172,0.885989010989011,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-2.6274245680202113,11,16,0.8051238904396693,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed2_zhen.pt
3,en-de,144805,4854,82,0.38154168680309763,0.5983269995882844,0.4616475686514726,0.79908611181936,0.8151086731750851,0.6684589373989615,0.9439637412443346,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-2.290771848140947,8,13,0.6855683600415989,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed3_ende.pt
3,en-es,11273,623,15,0.41164307355960383,0.7654640277903573,0.6076445841347738,0.9138152189526578,0.7107142857142856,0.845276474188941,0.956661316211878,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.4963728202686837,5,10,0.7231407748535276,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed3_enes.pt
3,he-en,12427,751,13,0.43032315680327454,0.7976439263594137,0.6279790043868113,0.9568139801779951,0.9615384615384615,0.7749616237421115,0.9786950732356857,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-2.00967352421178,1,6,0.6909520671917841,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed3_heen.pt
3,ja-zh,12806,560,15,0.49919327472795566,0.6807964318546503,0.5349879788771958,0.9551936483326244,0.9464285714285712,0.7092134092900964,0.8125,nan,nan,nan,0.0,0.5,-1.8021240043729503,-2.234911020316315,3,8,0.6899587442348529,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed3_jazh.pt
3,zh-en,222178,5824,72,0.3490999579589055,0.46522068466299094,0.36379530591915954,0.5331172892007374,0.3511158273843978,0.6403017457170003,0.8851304945054945,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-3.4474228546273533,3,8,0.7029192250322651,revision_analysis/google_mqm_charcnn_outputs_ref_hyp_extended/checkpoints/charcnn_seed3_zhen.pt
