seed,heldout_pair,test_rows,test_segments,test_systems,pearson,spearman,kendall,system_pearson,system_spearman,pairwise_accuracy,top1_accuracy,baseline_pearson,baseline_spearman,baseline_system_spearman,baseline_pairwise_accuracy,baseline_top1_accuracy,gold_mean,pred_mean,best_epoch,completed_epochs,best_valid_loss,checkpoint_path
1,en-de,144805,4854,82,0.3402297509131804,0.5993777920898283,0.4627140161001275,0.5369627142271649,0.5510061927928517,0.634146753510035,0.9198599093531108,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-1.8537968286381774,4,9,0.6468195009906337,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed1_ende.pt
1,en-es,11273,623,15,0.32187846745150805,0.6479189503947737,0.5139008876602134,0.8882610084276411,0.6,0.6758212609671496,0.8715890850722311,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.5981393964100485,5,10,0.698231860414728,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed1_enes.pt
1,he-en,12427,751,13,0.44834597757416045,0.799994635116644,0.630823176205026,0.9791302770213649,0.9835164835164836,0.7779976121439536,0.9747003994673769,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-2.4005155116331647,2,7,0.7090974440307993,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed1_heen.pt
1,ja-zh,12806,560,15,0.5950761269743293,0.7353927569713766,0.5787593348918347,0.9622391811354885,0.9749999999999999,0.7320552147239264,0.975,nan,nan,nan,0.0,0.5,-1.8021240043729503,-3.366035018547352,4,9,0.7295105935304196,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed1_jazh.pt
1,zh-en,222178,5824,72,0.344946881175689,0.4739864520079444,0.3703527803109706,0.5212469123376924,0.30786545758569683,0.6448815041826315,0.9699519230769231,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-1.6527154081278055,6,11,0.8331254499184119,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed1_zhen.pt
2,en-de,144805,4854,82,0.3427461444141295,0.5891294645757712,0.4532583479092694,0.5214881383234637,0.5732958936015063,0.6287725403764484,0.9215080346106304,nan,nan,nan,0.0,0.6858261227853317,-1.5383584820966127,-1.7063492561102054,8,13,0.693640566789187,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed2_ende.pt
2,en-es,11273,623,15,0.3555876443521255,0.6628129218251471,0.5265864031210425,0.9280202139892805,0.6928571428571427,0.6977963680881453,0.8908507223113965,nan,nan,nan,0.0,0.5971107544141252,-1.0700789497028298,-1.4381094752637156,3,8,0.7163548562433812,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed2_enes.pt
2,he-en,12427,751,13,0.4467156432144173,0.7934818318646839,0.6237250347451234,0.9811536358155405,0.9780219780219779,0.7685485246460856,0.9680426098535286,nan,nan,nan,0.0,0.6098535286284953,-2.623883479520399,-2.284972329904061,5,10,0.6736757782729048,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed2_heen.pt
2,ja-zh,12806,560,15,0.5745845562207257,0.7272247543972251,0.5701779959021508,0.9546812943904985,0.9678571428571429,0.7409728308501314,0.9642857142857143,nan,nan,nan,0.0,0.5,-1.8021240043729503,-3.051039150659319,7,12,0.7569956388566401,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed2_jazh.pt
2,zh-en,222178,5824,72,0.3303567067736994,0.4575531379048966,0.3563868053711521,0.4438954404174453,0.28953630458550395,0.6409784875303399,0.9696085164835165,nan,nan,nan,0.0,0.5039491758241759,-2.482617540890637,-1.6304109597717125,5,10,0.8020820046464602,revision_analysis/google_mqm_charcnn_outputs_wide_full/checkpoints/charcnn_seed2_zhen.pt
