seed,pair,strategy,device,n_train_examples,n_test_sentences,learned_bleurt,meprs_avg_bleurt,best_baseline_bleurt,oracle_bleurt,learned_minus_meprs,learned_minus_best_baseline,learned_top1_rate,learned_selected_counts_json
1,de-en,it,cpu,15000,200,68.76521301269531,77.27710723876953,75.8310546875,77.46929931640625,-8.511894226074219,-7.0658416748046875,0.27,"{""C3"": 10, ""C35"": 104, ""G35"": 14, ""G4o"": 12, ""GP"": 60}"
1,de-en,tear,cpu,15000,200,71.62187194824219,77.38404846191406,75.412841796875,77.5422592163086,-5.762176513671875,-3.7909698486328125,0.32,"{""C3"": 11, ""C35"": 87, ""G35"": 18, ""G4o"": 13, ""GP"": 71}"
1,en-de,it,cpu,15000,200,59.331939697265625,73.80809783935547,71.26420593261719,74.62203979492188,-14.476158142089844,-11.932266235351562,0.24,"{""C3"": 16, ""C35"": 95, ""G35"": 35, ""G4o"": 8, ""GP"": 46}"
1,en-de,tear,cpu,15000,200,69.42984771728516,76.54761505126953,72.77326965332031,76.84510803222656,-7.117767333984375,-3.3434219360351562,0.21,"{""C3"": 19, ""C35"": 69, ""G35"": 10, ""G4o"": 27, ""GP"": 75}"
1,en-he,it,cpu,15000,200,69.62318420410156,84.50730895996094,83.34127807617188,85.8603515625,-14.884124755859375,-13.718093872070312,0.305,"{""C3"": 5, ""C35"": 112, ""G35"": 25, ""G4o"": 11, ""GP"": 47}"
1,en-he,tear,cpu,15000,200,78.80414581298828,87.28578186035156,84.5760498046875,87.46580505371094,-8.481636047363281,-5.771903991699219,0.305,"{""C3"": 19, ""C35"": 74, ""G35"": 16, ""G4o"": 19, ""GP"": 72}"
1,en-ru,it,cpu,15000,200,70.40234375,81.28279113769531,78.98091125488281,81.75302124023438,-10.880447387695312,-8.578567504882812,0.325,"{""C3"": 9, ""C35"": 109, ""G35"": 25, ""G4o"": 13, ""GP"": 44}"
1,en-ru,tear,cpu,15000,200,76.59060668945312,82.64553833007812,79.02670288085938,82.9068832397461,-6.054931640625,-2.43609619140625,0.27,"{""C3"": 21, ""C35"": 74, ""G35"": 9, ""G4o"": 21, ""GP"": 75}"
1,en-zh,it,cpu,15000,200,59.42799377441406,71.33824920654297,69.1702880859375,71.58246612548828,-11.910255432128906,-9.742294311523438,0.31,"{""C3"": 9, ""C35"": 107, ""G35"": 16, ""G4o"": 16, ""GP"": 52}"
1,en-zh,tear,cpu,15000,200,64.58773803710938,72.86324310302734,70.03533935546875,73.16810607910156,-8.275505065917969,-5.447601318359375,0.245,"{""C3"": 13, ""C35"": 68, ""G35"": 8, ""G4o"": 15, ""GP"": 96}"
1,he-en,it,cpu,15000,200,74.10871887207031,82.06734466552734,79.02647399902344,82.27359008789062,-7.958625793457031,-4.917755126953125,0.29,"{""C3"": 9, ""C35"": 97, ""G35"": 21, ""G4o"": 19, ""GP"": 54}"
1,he-en,tear,cpu,15000,200,73.75946044921875,82.19093322753906,78.04129028320312,82.33609008789062,-8.431472778320312,-4.281829833984375,0.275,"{""C3"": 26, ""C35"": 67, ""G35"": 19, ""G4o"": 20, ""GP"": 68}"
1,ru-en,it,cpu,15000,200,76.6666488647461,80.15237426757812,78.52532958984375,80.17803955078125,-3.4857254028320312,-1.8586807250976562,0.37,"{""C3"": 14, ""C35"": 113, ""G35"": 18, ""G4o"": 11, ""GP"": 44}"
1,ru-en,tear,cpu,15000,200,76.84480285644531,80.70135498046875,78.6249771118164,80.74923706054688,-3.8565521240234375,-1.7801742553710938,0.26,"{""C3"": 13, ""C35"": 80, ""G35"": 10, ""G4o"": 21, ""GP"": 76}"
1,zh-en,it,cpu,15000,200,64.64751434326172,70.7402572631836,68.59211730957031,71.13445281982422,-6.092742919921875,-3.9446029663085938,0.285,"{""C3"": 15, ""C35"": 103, ""G35"": 14, ""G4o"": 14, ""GP"": 54}"
1,zh-en,tear,cpu,15000,200,64.90559387207031,71.90283966064453,68.54129028320312,71.97479248046875,-6.997245788574219,-3.6356964111328125,0.215,"{""C3"": 14, ""C35"": 76, ""G35"": 6, ""G4o"": 23, ""GP"": 81}"
