pair,strategy,best_baseline_model,best_baseline_model_name,best_baseline_bleurt,meprs_bleurt,meprs_gain,bootstrap_p,ci95_low_gain,ci95_high_gain,noself_bleurt,noself_minus_meprs,noself_changed_selection_rate,median_agg_bleurt,zscore_agg_bleurt,rank_agg_bleurt,oracle_bleurt,random_expected_bleurt,top1_rate,top2_rate,top3_rate,kendall_w_mean,kendall_w_sd,G35_bleurt,G4o_bleurt,C3_bleurt,C35_bleurt,GP_bleurt,holm_adjusted_p
de-en,it,C3,Claude-3-Opus,75.83105716109276,77.27710318565369,1.4460460245609283,0.0,0.95901038646698,2.040421729534864,75.36501249670982,-1.9120906889438571,0.53,73.37314607203007,77.27710318565369,77.27710318565369,77.46929967403412,70.77786510065198,0.96,0.97,0.975,0.29326,0.20928980748614573,67.6585303209722,74.87520016729832,75.83105716109276,75.58123269677162,59.943305157124996,0.0
de-en,tear,C35,Claude-3.5-Sonnet,75.41283932328224,77.38405334949493,1.9712140262126925,0.0,1.5047783970832826,2.4913549236953254,76.27952113747597,-1.1045322120189605,0.465,74.9842388778925,77.38405334949493,77.38405334949493,77.54226195812225,72.91126920431853,0.96,0.975,0.985,0.28658,0.23088560895411075,73.49262408912182,73.31256995350122,74.89390915632248,75.41283932328224,67.44440349936485,0.0
en-de,it,C35,Claude-3.5-Sonnet,71.26420833915472,73.80810002982616,2.543891690671444,0.0,1.2969455368816853,3.738902651518583,70.56593967974186,-3.2421603500843,0.495,62.154961194843054,73.80810002982616,73.80810002982616,74.62203788757324,62.366536234319206,0.975,0.975,0.98,0.28694,0.21212141303825677,49.13189226016402,64.45169158279896,70.95780858397484,71.26420833915472,56.02708040550352,0.0
en-de,tear,C3,Claude-3-Opus,72.77326706051826,76.54761517047882,3.774348109960556,0.0,2.9881674066185955,4.591676925122737,74.07235506176949,-2.4752601087093318,0.51,74.47181943058968,76.54761517047882,76.54761517047882,76.84510639309883,70.76788981482386,0.96,0.975,0.98,0.30101,0.22206595041036412,71.18339462578297,72.19084318727255,72.77326706051826,72.18111699819565,65.5108272023499,0.0
en-he,it,C35,Claude-3.5-Sonnet,83.34127521514893,84.50731710717082,1.1660418920218945,0.082,-0.17853651205077767,2.33420105651021,81.10459016636014,-3.4027269408106853,0.43,71.16915898770094,84.50731710717082,84.50731710717082,85.8603507578373,71.61956807672978,0.93,0.95,0.95,0.28592,0.2274694382255189,54.566139072179794,78.9818928539753,80.53683882951736,83.34127521514893,60.67169441282749,0.082
en-he,tear,G4o,GPT-4o,84.57604587078094,87.28578358888626,2.709737718105316,0.0,2.027327957749367,3.4908873245120042,85.50387686491013,-1.7819067239761344,0.46,82.05157098919153,87.28578358888626,87.28578358888626,87.4658105969429,80.08091793432831,0.975,0.975,0.985,0.28206000000000003,0.23158556902124638,76.89886302500963,84.57604587078094,83.47281515598297,84.40795409679413,71.04891152307391,0.0
en-ru,it,C35,Claude-3.5-Sonnet,78.9809181690216,81.28278708457947,2.3018689155578613,0.0,1.5357438050210477,3.126884637773037,79.06926304101944,-2.2135240435600223,0.4,71.31507946550846,81.28278708457947,81.28278708457947,81.75302404165268,69.64483231753111,0.96,0.97,0.97,0.31991,0.24531487693211987,57.34745650738478,71.89675742387772,78.14475071430206,78.9809181690216,61.85427877306938,0.0
en-ru,tear,C3,Claude-3-Opus,79.02671226859093,82.64554634690285,3.61883407831192,0.0,2.7903952516615393,4.52536771968007,80.57595399022102,-2.0695923566818153,0.465,79.59291326999664,82.64554634690285,82.64554634690285,82.90688586235046,76.22232317700983,0.945,0.97,0.975,0.28582,0.23050150175553694,76.2520506978035,77.90518668293953,79.02671226859093,78.58155584335327,69.34611039236188,0.0
en-zh,it,C35,Claude-3.5-Sonnet,69.17028181254864,71.33825010061264,2.167968288064003,0.0,1.5292475329712034,2.832798496633768,68.2582823522389,-3.0799677483737464,0.395,61.62708129361272,71.33825010061264,71.33825010061264,71.58246701955795,59.366308256238696,0.985,0.985,0.985,0.29866,0.23748363477073448,52.053272876888514,63.32010224461555,64.97287078946829,69.17028181254864,47.3150135576725,0.0
en-zh,tear,C35,Claude-3.5-Sonnet,70.0353417173028,72.86324499547482,2.827903278172016,0.0,2.1643943252041935,3.487049868516624,70.48221409320831,-2.381030902266501,0.47,69.56712442263961,72.86324499547482,72.86324499547482,73.16810546815395,66.64975020438432,0.97,0.985,0.985,0.30632000000000004,0.22396207862787082,65.9592490233481,69.16572807729244,69.71081753447652,70.0353417173028,58.377614669501774,0.0
he-en,it,G4o,GPT-4o,79.02648092806339,82.06734684109688,3.0408659130334854,0.0,2.2722250398248436,3.901142759621143,80.44325056672096,-1.624096274375919,0.355,76.47915759682655,82.06734684109688,82.06734684109688,82.27358996868134,74.82501616105438,0.985,0.985,0.985,0.28989,0.22485901311465026,71.52732948213816,79.02648092806339,78.63547308743,78.44255742430687,66.49323988333344,0.0
he-en,tear,C3,Claude-3-Opus,78.04128612577915,82.19093099236488,4.1496448665857315,0.0,3.2205085329711434,5.135099534317851,80.01079040765762,-2.1801405847072575,0.525,77.78014466166496,82.19093099236488,82.19093099236488,82.33609402179718,75.12442717477678,0.99,0.99,0.995,0.29320999999999997,0.21524452823399107,73.44610907137394,76.97593241930008,78.04128612577915,78.00719322264194,69.15161503478885,0.0
ru-en,it,C35,Claude-3.5-Sonnet,78.52532956004143,80.15236911177635,1.6270395517349243,0.0,1.2456987068057062,2.058379663527012,79.18367224931717,-0.9686968624591841,0.455,77.04264709353447,80.15236911177635,80.15236911177635,80.17804053425789,75.98842680901288,0.97,0.99,1.0,0.27878000000000003,0.22047976832627078,74.37527987360954,77.76498311758041,77.83989483118057,78.52532956004143,71.43664666265249,0.0
ru-en,tear,C35,Claude-3.5-Sonnet,78.62497813999653,80.72610113024712,2.1011229902505875,0.0,1.6772269237786532,2.571210492029786,79.47352270781994,-1.2525784224271752,0.48,78.33679702877998,80.72610113024712,80.72610113024712,80.74923154711723,76.69410509467124,0.975,1.0,1.0,0.30594,0.23177149637663239,76.01229284703732,77.51307284832001,77.96193215250969,78.62497813999653,73.3582494854927,0.0
zh-en,it,C35,Claude-3.5-Sonnet,68.59212036803365,70.74025943875313,2.1481390707194805,0.0,1.454176620207727,2.8742910685017695,69.80751872062683,-0.9327407181263014,0.405,67.00543045252562,70.74025943875313,70.74025943875313,71.13445064425468,65.49815613776445,0.97,0.98,0.98,0.28414,0.2210570776016659,63.40031772851944,67.31947861239314,67.90956308320165,68.59212036803365,60.269300896674395,0.0
zh-en,tear,C35,Claude-3.5-Sonnet,68.54129115864635,71.90283671021461,3.36154555156827,0.0,2.6237360395491125,4.199895998742431,69.422532428056,-2.4803042821586074,0.49,68.80641523003578,71.90283671021461,71.90283671021461,71.97479766607285,66.54623372778296,0.975,0.99,0.995,0.29079,0.22610309362041825,66.30674701556563,67.51496406272054,68.30784386396408,68.54129115864635,62.060322538018234,0.0
