pair,strategy,selection_dimension,selected_bleurt
de-en,it,accuracy,72.31454791501164
de-en,it,fluency,76.38239771127701
de-en,it,style,72.8864066414535
de-en,it,terminology,75.65392243862152
de-en,it,score,77.27710318565369
de-en,tear,accuracy,75.42496927082539
de-en,tear,fluency,77.16155052185059
de-en,tear,style,76.13274443149567
de-en,tear,terminology,76.18612329661846
de-en,tear,score,77.38405334949493
en-de,it,accuracy,61.88955536484718
en-de,it,fluency,73.82922086119652
en-de,it,style,64.53537544980645
en-de,it,terminology,70.20137104392052
en-de,it,score,73.80810002982616
en-de,tear,accuracy,74.14994838833809
en-de,tear,fluency,76.23110461235046
en-de,tear,style,74.58022424578667
en-de,tear,terminology,75.31835749745369
en-de,tear,score,76.54761517047882
en-he,it,accuracy,68.32789506390691
en-he,it,fluency,83.50834910199046
en-he,it,style,72.13412709161639
en-he,it,terminology,77.31020502373576
en-he,it,score,84.50731710717082
en-he,tear,accuracy,82.11815113574266
en-he,tear,fluency,86.46044504642487
en-he,tear,style,83.25998985767365
en-he,tear,terminology,84.79871014505625
en-he,tear,score,87.28578358888626
en-ru,it,accuracy,69.18322468921542
en-ru,it,fluency,79.38453343510628
en-ru,it,style,70.08424535021186
en-ru,it,terminology,76.99901788681746
en-ru,it,score,81.28278708457947
en-ru,tear,accuracy,79.25833877921104
en-ru,tear,fluency,81.91707509756088
en-ru,tear,style,79.5353861451149
en-ru,tear,terminology,80.76247128844261
en-ru,tear,score,82.64554634690285
en-zh,it,accuracy,63.3146806396544
en-zh,it,fluency,70.5415820479393
en-zh,it,style,65.15503268688917
en-zh,it,terminology,67.58764139562845
en-zh,it,score,71.33825010061264
en-zh,tear,accuracy,69.93923817202449
en-zh,tear,fluency,72.96131728589535
en-zh,tear,style,71.0019957870245
en-zh,tear,terminology,71.59741960093379
en-zh,tear,score,72.86324499547482
he-en,it,accuracy,76.56539195775986
he-en,it,fluency,81.8792413175106
he-en,it,style,78.91997414827347
he-en,it,terminology,78.96989101171494
he-en,it,score,82.06734684109688
he-en,tear,accuracy,78.35227477550507
he-en,tear,fluency,81.391338378191
he-en,tear,style,77.81251612305641
he-en,tear,terminology,80.91388764977455
he-en,tear,score,82.19093099236488
ru-en,it,accuracy,77.22023496031761
ru-en,it,fluency,79.92195880413055
ru-en,it,style,77.96790465712547
ru-en,it,terminology,78.83400782942772
ru-en,it,score,80.15236911177635
ru-en,tear,accuracy,77.97293643653393
ru-en,tear,fluency,80.21490561962128
ru-en,tear,style,78.39684708416462
ru-en,tear,terminology,79.48033133149147
ru-en,tear,score,80.72610113024712
zh-en,it,accuracy,66.87027006596327
zh-en,it,fluency,70.81614202260971
zh-en,it,style,68.33304695785046
zh-en,it,terminology,69.19310928881168
zh-en,it,score,70.74025943875313
zh-en,tear,accuracy,68.67704850062728
zh-en,tear,fluency,71.21697780489922
zh-en,tear,style,69.44822290539742
zh-en,tear,terminology,70.22296934947371
zh-en,tear,score,71.90283671021461
