pair,strategy,reviewer,reviewer_name,own_mean_score,other_mean_score,own_minus_other,strict_self_top_rate,self_top_with_ties_rate
de-en,it,G35,GPT-3.5-Turbo,0.28432186257094144,0.31994778822176156,-0.03562592565082012,0.01,0.57
de-en,it,G4o,GPT-4o,0.38489961713552473,0.3569606029242277,0.02793901421129702,0.105,0.59
de-en,it,C3,Claude-3-Opus,0.3393184119462967,0.3034783639293164,0.03584004801698032,0.16,0.725
de-en,it,C35,Claude-3.5-Sonnet,0.41880540519952775,0.3747956703510135,0.044009734848514226,0.195,0.675
de-en,it,GP,Gemini-Pro,0.30753390446305273,0.3720993455220014,-0.06456544105894868,0.055,0.535
de-en,tear,G35,GPT-3.5-Turbo,0.3341516923904419,0.33577962088398633,-0.0016279284935444283,0.07,0.61
de-en,tear,G4o,GPT-4o,0.3680597399547696,0.36400368811562656,0.004056051839143038,0.065,0.575
de-en,tear,C3,Claude-3-Opus,0.3778244289755821,0.3603169891331345,0.017507439842447625,0.105,0.615
de-en,tear,C35,Claude-3.5-Sonnet,0.38305093109607696,0.3599392211344093,0.02311170996166767,0.125,0.645
de-en,tear,GP,Gemini-Pro,0.3319105189666152,0.36560126536525783,-0.03369074639864261,0.11,0.64
en-de,it,G35,GPT-3.5-Turbo,0.2864106138795614,0.37404204055666923,-0.08763142667710783,0.055,0.55
en-de,it,G4o,GPT-4o,0.35451727494597435,0.33698121208697557,0.01753606285899878,0.055,0.565
en-de,it,C3,Claude-3-Opus,0.37591227784752845,0.3226037030201405,0.05330857482738793,0.21,0.745
en-de,it,C35,Claude-3.5-Sonnet,0.3902235375344753,0.34693766265176235,0.04328587488271296,0.19,0.69
en-de,it,GP,Gemini-Pro,0.31148984774947164,0.3326588448788971,-0.021168997129425438,0.01,0.53
en-de,tear,G35,GPT-3.5-Turbo,0.3736027617007494,0.3912228545267135,-0.017620092825964107,0.065,0.55
en-de,tear,G4o,GPT-4o,0.388692377358675,0.3768607640545815,0.011831613304093491,0.09,0.59
en-de,tear,C3,Claude-3-Opus,0.3490056753158569,0.3312441588565707,0.017761516459286197,0.135,0.7
en-de,tear,C35,Claude-3.5-Sonnet,0.3987939978390932,0.3870817109197378,0.011712286919355386,0.155,0.635
en-de,tear,GP,Gemini-Pro,0.36260380256921054,0.38131432768888773,-0.01871052511967719,0.08,0.58
en-he,it,G35,GPT-3.5-Turbo,0.2596610739082098,0.3426815121714026,-0.08302043826319278,0.0,0.545
en-he,it,G4o,GPT-4o,0.37239487290382384,0.33584831561893225,0.03654655728489159,0.095,0.62
en-he,it,C3,Claude-3-Opus,0.38045375972986223,0.3305452112201601,0.04990854850970211,0.095,0.675
en-he,it,C35,Claude-3.5-Sonnet,0.38624264478683473,0.32446406757459045,0.06177857721224428,0.24,0.805
en-he,it,GP,Gemini-Pro,0.3312870454788208,0.3954819982778281,-0.06419495279900728,0.01,0.48
en-he,tear,G35,GPT-3.5-Turbo,0.3601179520785809,0.37701502138748766,-0.016897069308906776,0.055,0.58
en-he,tear,G4o,GPT-4o,0.3961791920661926,0.37644749832339586,0.019731693742796763,0.15,0.67
en-he,tear,C3,Claude-3-Opus,0.3715254750847816,0.3576401851233095,0.013885289961472147,0.08,0.62
en-he,tear,C35,Claude-3.5-Sonnet,0.4347798904776573,0.4092664375156164,0.025513452962040883,0.16,0.64
en-he,tear,GP,Gemini-Pro,0.32637171119451525,0.3489178810082376,-0.022546169813722372,0.03,0.595
en-ru,it,G35,GPT-3.5-Turbo,0.27819277174770835,0.3834794035181403,-0.10528663177043196,0.01,0.505
en-ru,it,G4o,GPT-4o,0.40780397772789,0.39039019265212116,0.01741378507576885,0.06,0.53
en-ru,it,C3,Claude-3-Opus,0.4268780517578125,0.36517975088208915,0.061698300875723366,0.15,0.67
en-ru,it,C35,Claude-3.5-Sonnet,0.4097586825489998,0.3579424201510847,0.05181626239791509,0.19,0.73
en-ru,it,GP,Gemini-Pro,0.36515681110322473,0.4057423444464803,-0.04058553334325554,0.035,0.51
en-ru,tear,G35,GPT-3.5-Turbo,0.37296664610505104,0.3747034808341414,-0.001736834729090364,0.095,0.65
en-ru,tear,G4o,GPT-4o,0.3687081944942474,0.36334154933691026,0.0053666451573371465,0.075,0.62
en-ru,tear,C3,Claude-3-Opus,0.4133416149020195,0.3995368324033916,0.013804782498627877,0.095,0.605
en-ru,tear,C35,Claude-3.5-Sonnet,0.4238179552555084,0.4113935185968876,0.012424436658620808,0.135,0.635
en-ru,tear,GP,Gemini-Pro,0.3592973630130291,0.3777126166969538,-0.01841525368392466,0.07,0.615
en-zh,it,G35,GPT-3.5-Turbo,0.3188785256445408,0.3460968126729131,-0.027218287028372312,0.0,0.515
en-zh,it,G4o,GPT-4o,0.3394976556301117,0.32246886571869254,0.01702878991141915,0.07,0.61
en-zh,it,C3,Claude-3-Opus,0.36821865409612653,0.34664752064272764,0.021571133453398894,0.095,0.595
en-zh,it,C35,Claude-3.5-Sonnet,0.36828343212604525,0.3274282189179212,0.040855213208124075,0.245,0.77
en-zh,it,GP,Gemini-Pro,0.3411689639091492,0.4017270174343139,-0.06055805352516469,0.035,0.47
en-zh,tear,G35,GPT-3.5-Turbo,0.3351858547329903,0.3361304235458374,-0.0009445688128471019,0.035,0.58
en-zh,tear,G4o,GPT-4o,0.4158940714597702,0.4055593760404736,0.010334695419296602,0.105,0.55
en-zh,tear,C3,Claude-3-Opus,0.3602383704483509,0.35598474817350506,0.004253622274845825,0.11,0.62
en-zh,tear,C35,Claude-3.5-Sonnet,0.42433239877223966,0.40140894013457,0.022923458637669647,0.16,0.615
en-zh,tear,GP,Gemini-Pro,0.30215712532401084,0.35316395099274817,-0.05100682566873732,0.065,0.595
he-en,it,G35,GPT-3.5-Turbo,0.32901942446827886,0.37851529427804054,-0.04949586980976167,0.02,0.535
he-en,it,G4o,GPT-4o,0.41723670914769173,0.3807427395321429,0.03649396961554885,0.12,0.605
