pair,strategy,num_meprs_not_bleurt_best_text_different,num_with_public_source_reference,mean_gap_to_bleurt_best,max_gap_to_bleurt_best
de-en,it,7,3,5.491325684956142,9.166651964187622
de-en,tear,8,4,3.9552152156829834,9.219038486480713
en-de,it,5,1,32.55751430988312,54.994624853134155
en-de,tear,8,4,7.437280565500259,18.092215061187744
en-he,it,13,3,20.81588260256327,87.6810111105442
en-he,tear,5,0,7.201080322265625,13.483071327209473
en-ru,it,8,4,11.755923926830292,24.86395239830017
en-ru,tear,10,4,5.226706266403198,11.868023872375488
en-zh,it,3,1,16.2811279296875,27.219849824905396
en-zh,tear,6,4,10.162009795506796,31.12562894821167
he-en,it,3,1,13.749541838963827,20.070159435272217
he-en,tear,2,1,14.516302943229675,20.10519504547119
ru-en,it,5,1,1.0268235206604004,2.0993292331695557
ru-en,tear,5,4,0.9252166748046875,1.8884658813476562
zh-en,it,6,0,13.13970685005188,27.913492918014526
zh-en,tear,4,0,3.5980403423309326,6.419998407363892
