pair,strategy,mean_pairwise_chrf_similarity,mean_pairwise_token_f1_similarity,mean_bleurt_candidate_range,mean_oracle_margin,meprs_gain_vs_best_baseline,best_baseline_model
de-en,it,0.7947315021480408,0.8064319725130019,20.786194562911987,1.7224492728710172,1.4460460245609208,C3
de-en,tear,0.800560302111772,0.8166161881600851,13.267627649009228,1.6494320034980774,1.9712140262126865,C35
en-de,it,0.6815456712699599,0.6724875685651754,32.41384360939264,3.793046891689301,2.5438916906714404,C35
en-de,tear,0.7609299558550779,0.7655048583199848,16.015064779669046,2.497744917869568,3.774348109960557,C3
en-he,it,0.6405305267272877,0.6210840083110862,40.9011531509459,3.354182630777359,1.1660418920218962,C35
en-he,tear,0.6804743301877335,0.6780200354592484,22.084072303026915,1.8693463206291199,2.7097377181053095,G4o
en-ru,it,0.6745668899989183,0.6744847840331727,30.96383271366358,3.360271990299225,2.3018689155578587,C35
en-ru,tear,0.6954600667060972,0.7099052636042756,17.767905604094267,2.7429299354553223,3.6188340783119166,C3
en-zh,it,0.46182683662677865,0.4065765609483597,29.764049146324396,4.746993314474821,2.167968288064004,C35
en-zh,tear,0.46231111460174956,0.42122731048707884,18.165870275348425,2.598899431526661,2.827903278172017,C35
he-en,it,0.7500307740453502,0.7678920156286293,20.40430114045739,2.388169914484024,3.040865913033486,G4o
he-en,tear,0.7047091508927845,0.7329528792629264,18.000221077352762,3.1249085068702698,4.149644866585733,C3
ru-en,it,0.824196525651798,0.8483723944777765,12.967972107231617,1.2825002074241638,1.6270395517349323,C35
ru-en,tear,0.767640399019945,0.8021460360285004,10.585338696837425,1.704718828201294,2.1011229902505923,C35
zh-en,it,0.7090612178191966,0.7281296890618951,14.872786846011877,2.0212804712355137,2.148139070719479,C35
zh-en,tear,0.6812970563956661,0.7023050038375089,13.320287216454743,2.633611261844635,3.361545551568268,C35
