pair,strategy,predictor_subset_size,reviewer_subset_size,predictor_models,reviewer_models,selected_bleurt,best_single_within_predictors,oracle_within_predictors,gain_vs_best_single_within_predictors
de-en,it,1,1,G35,G35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,1,G35,G4o,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,1,G35,C3,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,1,G35,C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,1,G35,GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,G35;G4o,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,G35;C3,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,G35;C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,G35;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,G4o;C3,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,G4o;C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,G4o;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,C3;C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,C3;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,2,G35,C35;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G35;G4o;C3,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G35;G4o;C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G35;G4o;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G35;C3;C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G35;C3;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G35;C35;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G4o;C3;C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G4o;C3;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,G4o;C35;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,3,G35,C3;C35;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,4,G35,G35;G4o;C3;C35,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,4,G35,G35;G4o;C3;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
de-en,it,1,4,G35,G35;G4o;C35;GP,67.6585303209722,67.6585303209722,67.6585303209722,0.0
