predictor_subset_size,reviewer_subset_size,num_subsets_across_conditions,mean_selected_bleurt,sd_selected_bleurt,mean_gain_vs_best_single_within_predictors,positive_gain_rate
1,1,400,70.9427265890874,7.9770425113644,0.0,0.0
1,2,800,70.9427265890874,7.972049057033847,0.0,0.0
1,3,800,70.9427265890874,7.972049057033847,0.0,0.0
1,4,400,70.9427265890874,7.9770425113644,0.0,0.0
1,5,80,70.9427265890874,8.017330861125416,0.0,0.0
2,1,800,73.58946520467754,6.281981161988391,-0.6634250799845904,0.64875
2,2,1600,74.7099463353632,5.771757467537993,0.457056050701067,0.763125
2,3,1600,75.27033842882607,5.629140989446109,1.0174481441639365,0.891875
2,4,800,75.54172082444187,5.590223872341219,1.2888305397797375,0.93125
2,5,160,75.67203428996727,5.5886721745978365,1.4191440053051338,0.96875
3,1,800,73.50406843980774,6.1062951022154754,-1.7570324857439845,0.40375
3,2,1600,75.42986718054395,5.3856679937836915,0.16876625499222433,0.69875
3,3,1600,76.39355346269673,5.206425519026548,1.132452537145,0.855625
3,4,800,76.86173112970312,5.164727634603324,1.6006302041513845,0.96
3,5,160,77.08767852056772,5.161097770645525,1.8265775950159877,0.99375
4,1,400,73.1709317140095,6.0106722672002775,-2.4002459678053856,0.3
4,2,800,75.67637651275378,5.200857682363803,0.10519883093889802,0.7
4,3,800,76.92943771496881,5.03069436784488,1.3582600331539287,0.85625
4,4,400,77.53768910901621,5.007472278485584,1.9665114272013307,0.985
4,5,80,77.83106716582552,5.026240662812132,2.2598894840106367,1.0
5,1,80,72.75969186504372,5.938845664727871,-2.9755227110814304,0.2125
5,2,160,75.7372844411293,5.078814786372218,0.00206986500415951,0.65
5,3,160,77.22615064862184,4.930461005810529,1.4909360724966974,0.89375
5,4,80,77.94783523199149,4.941136795535369,2.2126206558663397,0.9875
5,5,16,78.29497782397084,5.078949373874587,2.5597632478456944,1.0
