pair,strategy,dimension,selected_bleurt,meprs_bleurt,best_baseline_bleurt,dimension_minus_meprs,dimension_minus_best_baseline,selection_agreement_with_meprs
de-en,it,accuracy,72.31454791501164,77.27710318565369,75.83105716109276,-4.962555270642044,-3.516509246081114,0.555
de-en,it,fluency,76.38239771127701,77.27710318565369,75.83105716109276,-0.894705474376678,0.5513405501842499,0.865
de-en,it,style,72.8864066414535,77.27710318565369,75.83105716109276,-4.390696544200178,-2.9446505196392536,0.6
de-en,it,terminology,75.65392243862152,77.27710318565369,75.83105716109276,-1.6231807470321602,-0.17713472247123718,0.83
de-en,tear,accuracy,75.42496927082539,77.38405334949493,75.41283932328224,-1.9590840786695485,0.012129947543144226,0.605
de-en,tear,fluency,77.16155052185059,77.38405334949493,75.41283932328224,-0.22250282764434415,1.7487111985683441,0.875
de-en,tear,style,76.13274443149567,77.38405334949493,75.41283932328224,-1.251308917999261,0.7199051082134247,0.595
de-en,tear,terminology,76.18612329661846,77.38405334949493,75.41283932328224,-1.1979300528764725,0.7732839733362198,0.82
en-de,it,accuracy,61.88955536484718,73.80810002982616,71.26420833915472,-11.918544664978981,-9.374652974307537,0.52
en-de,it,fluency,73.82922086119652,73.80810002982616,71.26420833915472,0.02112083137035814,2.5650125220417976,0.935
en-de,it,style,64.53537544980645,73.80810002982616,71.26420833915472,-9.272724580019709,-6.7288328893482685,0.64
en-de,it,terminology,70.20137104392052,73.80810002982616,71.26420833915472,-3.6067289859056495,-1.0628372952342033,0.795
en-de,tear,accuracy,74.14994838833809,76.54761517047882,72.77326706051826,-2.3976667821407283,1.3766813278198242,0.58
en-de,tear,fluency,76.23110461235046,76.54761517047882,72.77326706051826,-0.3165105581283578,3.457837551832199,0.87
en-de,tear,style,74.58022424578667,76.54761517047882,72.77326706051826,-1.9673909246921584,1.806957185268402,0.635
en-de,tear,terminology,75.31835749745369,76.54761517047882,72.77326706051826,-1.2292576730251303,2.545090436935425,0.815
en-he,it,accuracy,68.32789506390691,84.50731710717082,83.34127521514893,-16.179422043263912,-15.013380151242018,0.5
en-he,it,fluency,83.50834910199046,84.50731710717082,83.34127521514893,-0.9989680051803562,0.16707388684153557,0.86
en-he,it,style,72.13412709161639,84.50731710717082,83.34127521514893,-12.373190015554425,-11.207148123532534,0.565
en-he,it,terminology,77.31020502373576,84.50731710717082,83.34127521514893,-7.197112083435064,-6.031070191413164,0.76
en-he,tear,accuracy,82.11815113574266,87.28578358888626,84.57604587078094,-5.1676324531435895,-2.4578947350382805,0.515
