pair,strategy,system,is_best_bleurt_baseline,aligned_sentence_count,sacrebleu,chrf_pp
de-en,it,G35,False,51,42.035991557587735,67.26532613159856
de-en,it,G4o,False,51,49.0875585465028,69.67034441340141
de-en,it,C3,True,51,49.00946353079079,69.68569852754662
de-en,it,C35,False,51,48.34915065854084,69.39492111425164
de-en,it,GP,False,51,32.494493024562075,62.936998434985966
de-en,it,MEPRS,False,51,47.914272174778596,70.16762793857235
de-en,tear,G35,False,51,44.108590761330994,66.64643084758113
de-en,tear,G4o,False,51,44.76291765764684,65.15046191234977
de-en,tear,C3,False,51,47.76693979778664,69.00275300365992
de-en,tear,C35,True,51,48.490810731650576,68.85885614626763
de-en,tear,GP,False,51,46.169837805105516,66.82890970029463
de-en,tear,MEPRS,False,51,50.118453680114236,70.90641530798328
en-de,it,G35,False,51,35.78134682516878,55.03991504342327
en-de,it,G4o,False,51,44.44650411126214,69.6538876095478
en-de,it,C3,False,51,44.37084346785079,68.34436620084628
en-de,it,C35,True,51,45.61808587551271,68.26018618081989
en-de,it,GP,False,51,40.13866462813446,66.54895615673149
en-de,it,MEPRS,False,51,46.38729297214298,69.47300790173414
en-de,tear,G35,False,51,47.44418970426812,69.29640880711932
en-de,tear,G4o,False,51,47.97301420128468,69.99696721332992
en-de,tear,C3,True,51,43.603371366136265,67.61305898488274
en-de,tear,C35,False,51,45.76770364376306,68.28620962793082
en-de,tear,GP,False,51,38.420560809781854,65.12771315579661
en-de,tear,MEPRS,False,51,47.93854088974284,70.4108604005086
en-he,it,G35,False,69,16.627094184791478,35.719150786241165
en-he,it,G4o,False,69,36.41467974615144,65.21151390651195
en-he,it,C3,False,69,36.680113064477254,63.71154314619888
en-he,it,C35,True,69,40.269667476810135,65.46826051996577
en-he,it,GP,False,69,24.490870322167833,58.36807601169197
en-he,it,MEPRS,False,69,41.38188415598017,65.18443660380736
en-he,tear,G35,False,69,26.195927587454058,54.52628287390666
en-he,tear,G4o,True,69,40.95274246220598,65.36959713325433
en-he,tear,C3,False,69,39.654481034676614,65.38755351917669
en-he,tear,C35,False,69,40.92778888204662,65.97428571972526
en-he,tear,GP,False,69,12.666263577990845,45.920852635654214
en-he,tear,MEPRS,False,69,41.026280703333406,66.41545466528099
en-ru,it,G35,False,51,25.868735575947944,50.65155766772408
en-ru,it,G4o,False,51,33.352685507622205,59.10018598343692
en-ru,it,C3,False,51,42.419998361951684,63.502312207701415
en-ru,it,C35,True,51,37.74628371343114,60.61051899001741
en-ru,it,GP,False,51,27.805074308945134,56.64042118315204
en-ru,it,MEPRS,False,51,42.279651770517475,64.68301606278276
en-ru,tear,G35,False,51,31.764882882151436,56.08355322969963
en-ru,tear,G4o,False,51,36.44324148106285,59.09318576570921
en-ru,tear,C3,True,51,37.22177978974511,60.50654941107756
en-ru,tear,C35,False,51,39.92850871730857,61.18505480082829
en-ru,tear,GP,False,51,9.67366931188978,38.846396350574764
en-ru,tear,MEPRS,False,51,44.15930286495081,64.48970088836562
en-zh,it,G35,False,48,5.798872867051996,20.29031128451931
en-zh,it,G4o,False,48,4.569625565156689,24.45269965708747
