pair,strategy,mbr_utility,selected_bleurt,meprs_bleurt,best_single_bleurt,best_single_model,oracle_bleurt,random_expected_bleurt,mbr_minus_meprs,mbr_minus_best_single,selection_agreement_with_meprs
de-en,it,sacrebleu,74.55290063098073,77.27710318565369,75.83105716109276,C3,77.46929967403412,70.77786510065198,-2.7242025546729565,-1.2781565301120281,0.185
de-en,it,chrf_pp,71.10949783027172,77.27710318565369,75.83105716109276,C3,77.46929967403412,70.77786510065198,-6.167605355381966,-4.721559330821037,0.145
de-en,tear,sacrebleu,75.36333906650543,77.38405334949493,75.41283932328224,C35,77.54226195812225,72.91126920431853,-2.020714282989502,-0.04950025677680969,0.26
de-en,tear,chrf_pp,75.00339415669441,77.38405334949493,75.41283932328224,C35,77.54226195812225,72.91126920431853,-2.380659192800522,-0.4094451665878296,0.235
en-de,it,sacrebleu,66.03676846623421,73.80810002982616,71.26420833915472,C35,74.62203788757324,62.366536234319206,-7.771331563591957,-5.227439872920513,0.21
en-de,it,chrf_pp,63.5835153311491,73.80810002982616,71.26420833915472,C35,74.62203788757324,62.366536234319206,-10.224584698677063,-7.680693008005619,0.135
en-de,tear,sacrebleu,73.07552120089531,76.54761517047882,72.77326706051826,C3,76.84510639309883,70.76788981482386,-3.4720939695835114,0.3022541403770447,0.225
en-de,tear,chrf_pp,73.12822005152702,76.54761517047882,72.77326706051826,C3,76.84510639309883,70.76788981482386,-3.4193951189517975,0.35495299100875854,0.225
en-he,it,sacrebleu,79.95981401205063,84.50731710717082,83.34127521514893,C35,85.8603507578373,71.61956807672978,-4.547503095120192,-3.381461203098297,0.235
en-he,it,chrf_pp,73.50204165279865,84.50731710717082,83.34127521514893,C35,85.8603507578373,71.61956807672978,-11.005275454372168,-9.839233562350273,0.095
en-he,tear,sacrebleu,85.28733712434769,87.28578358888626,84.57604587078094,G4o,87.4658105969429,80.08091793432831,-1.9984464645385742,0.7112912535667419,0.26
en-he,tear,chrf_pp,84.4140052497387,87.28578358888626,84.57604587078094,G4o,87.4658105969429,80.08091793432831,-2.8717783391475677,-0.1620406210422516,0.25
en-ru,it,sacrebleu,73.56636238098145,81.28278708457947,78.9809181690216,C35,81.75302404165268,69.64483231753111,-7.7164247035980225,-5.414555788040161,0.145
en-ru,it,chrf_pp,68.2184547483921,81.28278708457947,78.9809181690216,C35,81.75302404165268,69.64483231753111,-13.064332336187363,-10.762463420629501,0.085
en-ru,tear,sacrebleu,78.9618088901043,82.64554634690285,79.02671226859093,C3,82.90688586235046,76.22232317700983,-3.6837374567985535,-0.0649033784866333,0.195
en-ru,tear,chrf_pp,79.0534446388483,82.64554634690285,79.02671226859093,C3,82.90688586235046,76.22232317700983,-3.5921017080545425,0.026732370257377625,0.21
en-zh,it,sacrebleu,55.53964313492179,71.33825010061264,69.17028181254864,C35,71.58246701955795,59.366308256238696,-15.798606965690851,-13.630638677626848,0.095
en-zh,it,chrf_pp,59.570745434612036,71.33825010061264,69.17028181254864,C35,71.58246701955795,59.366308256238696,-11.767504666000605,-9.599536377936602,0.125
en-zh,tear,sacrebleu,66.92827799543738,72.86324499547482,70.0353417173028,C35,73.16810546815395,66.64975020438432,-5.934967000037432,-3.1070637218654156,0.15
en-zh,tear,chrf_pp,69.43931905925274,72.86324499547482,70.0353417173028,C35,73.16810546815395,66.64975020438432,-3.4239259362220764,-0.5960226580500603,0.165
he-en,it,sacrebleu,79.0692582577467,82.06734684109688,79.02648092806339,G4o,82.27358996868134,74.82501616105438,-2.9980885833501816,0.04277732968330383,0.225
he-en,it,chrf_pp,77.3885762244463,82.06734684109688,79.02648092806339,G4o,82.27358996868134,74.82501616105438,-4.678770616650581,-1.637904703617096,0.19
he-en,tear,sacrebleu,78.6091236770153,82.19093099236488,78.04128612577915,C3,82.33609402179718,75.12442717477678,-3.581807315349579,0.5678375512361526,0.305
he-en,tear,chrf_pp,78.54517394304276,82.19093099236488,78.04128612577915,C3,82.33609402179718,75.12442717477678,-3.6457570493221283,0.5038878172636032,0.3
ru-en,it,sacrebleu,78.06289038062096,80.15236911177635,78.52532956004143,C35,80.17804053425789,75.98842680901288,-2.0894787311553955,-0.4624391794204712,0.16
ru-en,it,chrf_pp,77.42679569125175,80.15236911177635,78.52532956004143,C35,80.17804053425789,75.98842680901288,-2.725573420524597,-1.0985338687896729,0.11
ru-en,tear,sacrebleu,78.3734964877367,80.72610113024712,78.62497813999653,C35,80.74923154711723,76.69410509467124,-2.352604642510414,-0.25148165225982666,0.215
ru-en,tear,chrf_pp,77.93884490430355,80.72610113024712,78.62497813999653,C35,80.74923154711723,76.69410509467124,-2.7872562259435654,-0.6861332356929779,0.14
zh-en,it,sacrebleu,67.29453206062317,70.74025943875313,68.59212036803365,C35,71.13445064425468,65.49815613776445,-3.445727378129959,-1.2975883074104786,0.22
zh-en,it,chrf_pp,66.05470428615808,70.74025943875313,68.59212036803365,C35,71.13445064425468,65.49815613776445,-4.685555152595043,-2.5374160818755627,0.175
zh-en,tear,sacrebleu,68.72557636722922,71.90283671021461,68.54129115864635,C35,71.97479766607285,66.54623372778296,-3.1772603429853916,0.1842852085828781,0.265
zh-en,tear,chrf_pp,68.22777002677321,71.90283671021461,68.54129115864635,C35,71.97479766607285,66.54623372778296,-3.6750666834414005,-0.3135211318731308,0.22
