pair,strategy,system,is_best_bleurt_baseline,aligned_sentence_count,bleu_mean,chrf_mean
de-en,it,G35,False,51,41.155566432310174,68.82218623617497
de-en,it,G4o,False,51,47.116412666645225,71.8366077860301
de-en,it,C3,True,51,46.81108678581628,71.70364447943145
de-en,it,C35,False,51,47.00170556779021,71.75523521081462
de-en,it,GP,False,51,31.145603045855385,62.39932015780712
de-en,it,MEPRS,False,51,47.8125040751935,72.99312283157388
de-en,tear,G35,False,51,42.46664531406378,68.21225671463594
de-en,tear,G4o,False,51,41.0884237336463,67.38437651517766
de-en,tear,C3,False,51,45.23018462657106,71.53213506300703
de-en,tear,C35,True,51,45.933307097378226,71.92410703276575
de-en,tear,GP,False,51,39.075170303030454,67.00876379939527
de-en,tear,MEPRS,False,51,47.688158257816255,74.63731815088848
en-de,it,G35,False,51,31.72914186157568,56.503846804185486
en-de,it,G4o,False,51,45.532886946314264,74.91804162195824
en-de,it,C3,False,51,46.194139399337544,74.18939036901864
en-de,it,C35,True,51,45.30072627186205,71.88133986683862
en-de,it,GP,False,51,37.49271955052535,69.57731478330159
en-de,it,MEPRS,False,51,47.653316661994204,75.11882341252797
en-de,tear,G35,False,51,46.53787545778487,73.19980904523365
en-de,tear,G4o,False,51,48.53832233007773,76.27456079342285
en-de,tear,C3,True,51,44.086259537431005,72.61043446350762
en-de,tear,C35,False,51,45.376390816973284,72.56952745393883
en-de,tear,GP,False,51,43.972071394395584,70.506304975623
en-de,tear,MEPRS,False,51,51.35368551083158,78.71022123494544
en-he,it,G35,False,69,20.316270614545164,45.51269150129859
en-he,it,G4o,False,69,39.538468499914785,67.00713714586445
en-he,it,C3,False,69,40.80364926804874,65.69814602581982
en-he,it,C35,True,69,40.37308132916001,66.07941487409902
en-he,it,GP,False,69,25.852092194941466,57.39475642017024
en-he,it,MEPRS,False,69,42.399418907415196,67.38371849264031
en-he,tear,G35,False,69,32.8637214974736,57.82949941640578
en-he,tear,G4o,True,69,41.767544174287444,67.3507466419282
en-he,tear,C3,False,69,42.59229668512151,68.32710112056235
en-he,tear,C35,False,69,41.481887432041304,67.39100180718864
en-he,tear,GP,False,69,28.812360648926717,54.57148846273756
en-he,tear,MEPRS,False,69,44.453228861877754,70.17798461976739
en-ru,it,G35,False,51,25.901660685923986,53.72134674102324
en-ru,it,G4o,False,51,38.76128782688025,63.210369395271044
en-ru,it,C3,False,51,46.895328742300634,68.6292275569512
en-ru,it,C35,True,51,40.01265630028826,65.80245009853272
en-ru,it,GP,False,51,33.012830380087195,58.57048649975672
en-ru,it,MEPRS,False,51,47.14113273229625,70.3052608914109
en-ru,tear,G35,False,51,34.06171173606433,61.508150750046504
en-ru,tear,G4o,False,51,43.21030132086357,65.92804621151244
en-ru,tear,C3,True,51,42.94852480190599,67.9045992939387
en-ru,tear,C35,False,51,41.08817415570656,66.25953471010592
en-ru,tear,GP,False,51,38.64371744565761,59.99646964601018
en-ru,tear,MEPRS,False,51,52.23458759809469,72.78453303574048
en-zh,it,G35,False,48,18.98807195559523,23.088512230233757
en-zh,it,G4o,False,48,20.005423070186826,25.665080578481668
en-zh,it,C3,False,48,15.444145906078253,24.220682379286814
en-zh,it,C35,True,48,17.757843179381613,27.728181808372028
en-zh,it,GP,False,48,13.748989770595207,21.68138167358102
en-zh,it,MEPRS,False,48,18.52108017187519,30.28672124576222
en-zh,tear,G35,False,48,18.583349465595514,28.267463169118226
en-zh,tear,G4o,False,48,17.64951085957634,27.25306291618673
en-zh,tear,C3,False,48,15.295753325828708,26.522515529645162
en-zh,tear,C35,True,48,18.153141052182665,29.489892144601725
en-zh,tear,GP,False,48,14.836749171437887,22.228833662848032
en-zh,tear,MEPRS,False,48,19.782384690464365,30.65419049083002
he-en,it,G35,False,69,42.79856183121781,69.44919920480186
he-en,it,G4o,True,69,53.21154413829677,75.5511747422203
he-en,it,C3,False,69,53.73151437078485,75.29412528692373
he-en,it,C35,False,69,52.8965199854256,75.66823952705549
he-en,it,GP,False,69,39.54456428041941,66.17809102893844
he-en,it,MEPRS,False,69,61.845313541415386,80.95624728047335
he-en,tear,G35,False,69,46.48810889846074,70.46730227502279
he-en,tear,G4o,False,69,46.81416612777445,70.65844640794306
he-en,tear,C3,True,69,51.73938610647127,73.32967320618944
he-en,tear,C35,False,69,48.3795913907597,72.38200853328243
he-en,tear,GP,False,69,35.97003734674561,62.66086106484232
he-en,tear,MEPRS,False,69,58.55046454546916,78.86210732854538
ru-en,it,G35,False,51,37.41499888505535,64.56780102040146
ru-en,it,G4o,False,51,41.30418311378539,67.00555745580434
ru-en,it,C3,False,51,41.05058663471566,65.99981917884296
ru-en,it,C35,True,51,40.1281858613166,65.51596844282199
ru-en,it,GP,False,51,36.29187988556515,62.97515502198982
ru-en,it,MEPRS,False,51,46.15905997561538,70.21222240250613
ru-en,tear,G35,False,51,37.79751023159731,63.23666432616309
ru-en,tear,G4o,False,51,38.47678416387841,63.24052387213273
ru-en,tear,C3,False,51,42.01789795606065,65.52122999182671
ru-en,tear,C35,True,51,41.54854930619491,66.26374824173654
ru-en,tear,GP,False,51,29.99793226442989,57.66419169382344
ru-en,tear,MEPRS,False,51,46.26515526901886,69.25602854297884
zh-en,it,G35,False,48,26.49188214499785,49.73226891917016
zh-en,it,G4o,False,48,28.236460446703035,51.34363942818802
zh-en,it,C3,False,48,27.813304395755623,51.72226312423862
zh-en,it,C35,True,48,29.291053758096847,53.31017596683319
zh-en,it,GP,False,48,24.31554698723424,47.72626780751181
zh-en,it,MEPRS,False,48,31.300046543765927,55.09381365632825
zh-en,tear,G35,False,48,26.64713491045265,50.05866148117917
zh-en,tear,G4o,False,48,26.991509921889104,51.08112743239921
zh-en,tear,C3,False,48,27.224151558579205,54.8411448929458
zh-en,tear,C35,True,48,28.8479287807921,53.07456003223724
zh-en,tear,GP,False,48,24.197542678419396,47.39672621116639
zh-en,tear,MEPRS,False,48,31.186552410304675,58.5674106761534
